id,gid,x,y,v_x,v_y,radius,time
0,0,7.973746,0.000008,-0.262538,0.000085,0.500000,0.100000
1,1,5.640443,5.640443,-0.164070,-0.164073,0.500000,0.100000
2,2,0.000007,7.972711,0.000075,-0.272886,0.500000,0.100000
3,3,-5.638137,5.638142,0.187125,-0.187081,0.500000,0.100000
4,4,-7.976375,0.000005,0.236246,0.000056,0.500000,0.100000
5,5,-5.637771,-5.637793,0.190793,0.190666,0.500000,0.100000
6,6,0.000000,-7.972335,0.000000,0.276652,0.500000,0.100000
7,7,5.640116,-5.640091,-0.167442,0.167591,0.500000,0.100000
0,0,7.926489,0.000024,-0.472568,0.000153,0.500000,0.200000
1,1,5.610910,5.610910,-0.295326,-0.295331,0.500000,0.200000
2,2,0.000021,7.923592,0.000136,-0.491195,0.500000,0.200000
3,3,-5.604455,5.604467,0.336826,-0.336746,0.500000,0.200000
4,4,-7.933851,0.000015,0.425243,0.000101,0.500000,0.200000
5,5,-5.603428,-5.603474,0.343427,0.343199,0.500000,0.200000
6,6,0.000000,-7.922537,0.000000,0.497974,0.500000,0.200000
7,7,5.609976,-5.609925,-0.301395,0.301664,0.500000,0.200000
0,0,7.862430,0.000044,-0.640593,0.000207,0.500000,0.300000
1,1,5.570877,5.570876,-0.400331,-0.400337,0.500000,0.300000
2,2,0.000039,7.857008,0.000184,-0.665842,0.500000,0.300000
3,3,-5.558796,5.558819,0.456586,-0.456478,0.500000,0.300000
4,4,-7.876207,0.000029,0.576440,0.000136,0.500000,0.300000
5,5,-5.556875,-5.556951,0.465534,0.465225,0.500000,0.300000
6,6,0.000000,-7.855034,0.000000,0.675031,0.500000,0.300000
7,7,5.569121,-5.569032,-0.408558,0.408922,0.500000,0.300000
0,0,7.784929,0.000070,-0.775012,0.000251,0.500000,0.400000
1,1,5.522444,5.522442,-0.484335,-0.484342,0.500000,0.400000
2,2,0.000061,7.776452,0.000223,-0.805559,0.500000,0.400000
3,3,-5.503557,5.503593,0.552394,-0.552264,0.500000,0.400000
4,4,-7.806467,0.000045,0.697398,0.000165,0.500000,0.400000
5,5,-5.500553,-5.500666,0.563220,0.562846,0.500000,0.400000
6,6,0.000000,-7.773367,0.000000,0.816677,0.500000,0.400000
7,7,5.519692,-5.519559,-0.494288,0.494729,0.500000,0.400000
0,0,7.696674,0.000098,-0.882548,0.000285,0.500000,0.500000
1,1,5.467290,5.467287,-0.551539,-0.551546,0.500000,0.500000
2,2,0.000087,7.684718,0.000253,-0.917334,0.500000,0.500000
3,3,-5.440653,5.440704,0.629041,-0.628892,0.500000,0.500000
4,4,-7.727051,0.000064,0.794165,0.000188,0.500000,0.500000
5,5,-5.436416,-5.436572,0.641368,0.640943,0.500000,0.500000
6,6,0.000000,-7.680367,0.000000,0.929993,0.500000,0.500000
